index,id,name,name.1,rating,rating_count,type_id,price,acidity,intensity,sweetness,tannin,style_name,style_grapes
51656,1375829,Justino's Madeira Vinho Madeira Doce 2008,Vinho Madeira Doce,3.5,269,24,24.48,3.312516200000001,4.608516000000002,4.8011613,0.0,Portuguese Madeira,"[{'id': 91, 'name': 'Verdelho', 'seo_name': 'verdelho', 'has_detailed_info': False, 'wines_count': 10196}, {'id': 343, 'name': 'Sercial', 'seo_name': 'sercial', 'has_detailed_info': False, 'wines_count': 732}, {'id': 608, 'name': 'Malmsey', 'seo_name': 'malmsey', 'has_detailed_info': False, 'wines_count': 251}, {'id': 669, 'name': 'Boal Branco', 'seo_name': 'boal-branco', 'has_detailed_info': False, 'wines_count': 393}, {'id': 1536, 'name': 'Terrantez', 'seo_name': 'terrantez', 'has_detailed_info': False, 'wines_count': 274}]"
51657,2119487,Barbeito 10 Years Old Reserva Velha Malvasia 2010,10 Years Old Reserva Velha Malvasia,4.2,234,7,50.14,3.655,4.445,4.355,0.0,Portuguese Madeira,"[{'id': 91, 'name': 'Verdelho', 'seo_name': 'verdelho', 'has_detailed_info': False, 'wines_count': 10196}, {'id': 343, 'name': 'Sercial', 'seo_name': 'sercial', 'has_detailed_info': False, 'wines_count': 732}, {'id': 608, 'name': 'Malmsey', 'seo_name': 'malmsey', 'has_detailed_info': False, 'wines_count': 251}, {'id': 669, 'name': 'Boal Branco', 'seo_name': 'boal-branco', 'has_detailed_info': False, 'wines_count': 393}, {'id': 1536, 'name': 'Terrantez', 'seo_name': 'terrantez', 'has_detailed_info': False, 'wines_count': 274}]"
51715,1814378,Casa dos Vinhos da Madeira 5 Years Old Fine Old Maderia 2008,5 Years Old Fine Old Maderia,4.0,51,24,20.8,2.9618292,5.0,5.0,0.0,Portuguese Port,"[{'id': 67, 'name': 'Touriga Nacional', 'seo_name': 'touriga-nacional', 'has_detailed_info': True, 'wines_count': 75399}, {'id': 69, 'name': 'Tinta Roriz', 'seo_name': 'tinta-roriz', 'has_detailed_info': False, 'wines_count': 36354}, {'id': 71, 'name': 'Tinta Barroca', 'seo_name': 'tinta-barroca', 'has_detailed_info': False, 'wines_count': 13684}, {'id': 204, 'name': 'Souzao', 'seo_name': 'souzao', 'has_detailed_info': False, 'wines_count': 3725}, {'id': 390, 'name': 'Touriga Francesa', 'seo_name': 'touriga-francesa', 'has_detailed_info': False, 'wines_count': 2945}]"
53793,9445173,Lismore Viognier 2013,Viognier,4.5,100,2,35.09,1.5867274,3.5200727,2.509406,0.0,South African Viognier,"[{'id': 20, 'name': 'Viognier', 'seo_name': 'viognier', 'has_detailed_info': True, 'wines_count': 78983}]"
53798,3445490,Raka Cabernet Franc 2011,Cabernet Franc,3.8,74,1,10.78,3.441368,3.564115,1.6866991999999998,3.616938,South African Cabernet Franc,"[{'id': 3, 'name': 'Cabernet Franc', 'seo_name': 'cabernet-franc', 'has_detailed_info': True, 'wines_count': 241823}]"
53801,159160311,Lismore Estate Reserve Viognier 2017,Estate Reserve Viognier,4.6,65,2,66.5,1.7548035,3.4566975,2.5226326,0.0,South African Viognier,"[{'id': 20, 'name': 'Viognier', 'seo_name': 'viognier', 'has_detailed_info': True, 'wines_count': 78983}]"
56779,2488592,Château Pesquie Ventoux Terrasses Rosé 2012,Ventoux Terrasses Rosé,3.6,599,4,21.64,3.2623951,3.4922687999999993,1.6813307000000002,0.0,Southern Rhône Rosé,"[{'id': 1, 'name': 'Shiraz/Syrah', 'seo_name': 'shiraz-syrah', 'has_detailed_info': True, 'wines_count': 491307}, {'id': 8, 'name': 'Grenache', 'seo_name': 'grenache-noir', 'has_detailed_info': True, 'wines_count': 210013}, {'id': 22, 'name': 'Mourvedre', 'seo_name': 'mourvedre', 'has_detailed_info': True, 'wines_count': 89450}]"
56791,142266713,La Ferme Julien Rosé 2016,Rosé,3.7,282,4,7.97,3.2428236,3.4406931000000003,1.6870338,0.0,Southern Rhône Rosé,"[{'id': 1, 'name': 'Shiraz/Syrah', 'seo_name': 'shiraz-syrah', 'has_detailed_info': True, 'wines_count': 491307}, {'id': 8, 'name': 'Grenache', 'seo_name': 'grenache-noir', 'has_detailed_info': True, 'wines_count': 210013}, {'id': 22, 'name': 'Mourvedre', 'seo_name': 'mourvedre', 'has_detailed_info': True, 'wines_count': 89450}]"
56828,159540564,Domaine de Fondrèche Cuvée Domaine Ventoux Rosé (L'Instant Rosé) 2018,Cuvée Domaine Ventoux Rosé (L'Instant Rosé),3.7,140,4,16.38,3.2031171,3.4086668,1.6812432000000002,0.0,Southern Rhône Rosé,"[{'id': 1, 'name': 'Shiraz/Syrah', 'seo_name': 'shiraz-syrah', 'has_detailed_info': True, 'wines_count': 491307}, {'id': 8, 'name': 'Grenache', 'seo_name': 'grenache-noir', 'has_detailed_info': True, 'wines_count': 210013}, {'id': 22, 'name': 'Mourvedre', 'seo_name': 'mourvedre', 'has_detailed_info': True, 'wines_count': 89450}]"
56849,153417630,Mont Ventoux Chais du Grillon Ventoux Rosé 2017,Chais du Grillon Ventoux Rosé,3.6,108,4,6.45,3.1740298,3.5438807,1.5298507,0.0,Southern Rhône Rosé,"[{'id': 1, 'name': 'Shiraz/Syrah', 'seo_name': 'shiraz-syrah', 'has_detailed_info': True, 'wines_count': 491307}, {'id': 8, 'name': 'Grenache', 'seo_name': 'grenache-noir', 'has_detailed_info': True, 'wines_count': 210013}, {'id': 22, 'name': 'Mourvedre', 'seo_name': 'mourvedre', 'has_detailed_info': True, 'wines_count': 89450}]"
56877,154926192,Rhonéa Ventoux Passe Colline 2017,Ventoux Passe Colline,3.6,76,4,24.43,3.1675527000000003,3.2574127,2.5326574,0.0,Southern Rhône Rosé,"[{'id': 1, 'name': 'Shiraz/Syrah', 'seo_name': 'shiraz-syrah', 'has_detailed_info': True, 'wines_count': 491307}, {'id': 8, 'name': 'Grenache', 'seo_name': 'grenache-noir', 'has_detailed_info': True, 'wines_count': 210013}, {'id': 22, 'name': 'Mourvedre', 'seo_name': 'mourvedre', 'has_detailed_info': True, 'wines_count': 89450}]"
56885,160731761,Domaine du Bon Remède Pensée Sauvage 2019,Pensée Sauvage,3.8,66,4,10.01,3.2773516000000003,3.3839724,1.9763013,0.0,Southern Rhône Rosé,"[{'id': 1, 'name': 'Shiraz/Syrah', 'seo_name': 'shiraz-syrah', 'has_detailed_info': True, 'wines_count': 491307}, {'id': 8, 'name': 'Grenache', 'seo_name': 'grenache-noir', 'has_detailed_info': True, 'wines_count': 210013}, {'id': 22, 'name': 'Mourvedre', 'seo_name': 'mourvedre', 'has_detailed_info': True, 'wines_count': 89450}]"
56897,2329407,Château Valcombe Epicure Rosé 2012,Epicure Rosé,3.8,62,4,18.14,3.2993119,3.4576087,1.7600363,0.0,Southern Rhône Rosé,"[{'id': 1, 'name': 'Shiraz/Syrah', 'seo_name': 'shiraz-syrah', 'has_detailed_info': True, 'wines_count': 491307}, {'id': 8, 'name': 'Grenache', 'seo_name': 'grenache-noir', 'has_detailed_info': True, 'wines_count': 210013}, {'id': 22, 'name': 'Mourvedre', 'seo_name': 'mourvedre', 'has_detailed_info': True, 'wines_count': 89450}]"
56925,144960161,Balma Vénitia La Pierre Du Diable Ventoux 2015,La Pierre Du Diable Ventoux,3.5,54,4,5.84,3.0333333,3.55,1.5806667,0.0,Southern Rhône Rosé,"[{'id': 1, 'name': 'Shiraz/Syrah', 'seo_name': 'shiraz-syrah', 'has_detailed_info': True, 'wines_count': 491307}, {'id': 8, 'name': 'Grenache', 'seo_name': 'grenache-noir', 'has_detailed_info': True, 'wines_count': 210013}, {'id': 22, 'name': 'Mourvedre', 'seo_name': 'mourvedre', 'has_detailed_info': True, 'wines_count': 89450}]"
56936,28821346,Domaine Le Mur-Mur-Ium Elle L'Elephant Rosé 2015,Elle L'Elephant Rosé,3.6,51,4,15.1,3.054706,3.5,2.5637255000000003,0.0,Southern Rhône Rosé,"[{'id': 1, 'name': 'Shiraz/Syrah', 'seo_name': 'shiraz-syrah', 'has_detailed_info': True, 'wines_count': 491307}, {'id': 8, 'name': 'Grenache', 'seo_name': 'grenache-noir', 'has_detailed_info': True, 'wines_count': 210013}, {'id': 22, 'name': 'Mourvedre', 'seo_name': 'mourvedre', 'has_detailed_info': True, 'wines_count': 89450}]"
59047,11050754,Ayama Baboon's Cheek Viognier 2012,Baboon's Cheek Viognier,2.7,25,2,14.96,1.1785715,3.5,1.9871428,0.0,South African Viognier,"[{'id': 20, 'name': 'Viognier', 'seo_name': 'viognier', 'has_detailed_info': True, 'wines_count': 78983}]"
60318,152836911,The Garajeest Bruce Cabernet Franc 2015,Bruce Cabernet Franc,4.1,233,1,34.15,3.3316875,3.723781,2.1200469,3.5240626000000006,South African Cabernet Franc,"[{'id': 3, 'name': 'Cabernet Franc', 'seo_name': 'cabernet-franc', 'has_detailed_info': True, 'wines_count': 241823}]"
60378,6891663,Whalehaven Cabernet Franc 2011,Cabernet Franc,4.2,86,1,14.02,3.2756093,3.4737427000000003,1.8911493,3.4287224000000003,South African Cabernet Franc,"[{'id': 3, 'name': 'Cabernet Franc', 'seo_name': 'cabernet-franc', 'has_detailed_info': True, 'wines_count': 241823}]"
