id,name,rating,name,wine_id,winery_id,winery_name,price,acidity,fizziness,intensity,sweetness,tannin,style_id,style_name,style_varietal_name
159414458,Akarua Rua Pinot Noir 2019,3.7,Rua Pinot Noir,96643,5511,Akarua,23.83,3.6646826,,2.2065156,1.5912963,2.1836762,162,New Zealand Pinot Noir,Pinot Noir
144266379,El Escocés Volante The Cup & Rings Godello 2015,3.7,The Cup & Rings Godello,3755911,122151,El Escocés Volante,19.02,,,,,,,,
152239279,Marc Kreydenweiss Perrières 2017,3.5,Perrières,1605217,6388,Marc Kreydenweiss,20.95,3.2360094,,3.8258672,1.8916088,3.2285962,212,Southern Rhône Red,Red
157876271,Viña Zorzal Graciano 2018,3.6,Graciano,1151276,16113,Viña Zorzal,12.49,3.2309117,,3.74684,1.6175756,3.0125513,176,Spanish Red,Red
156335108,Abadal Blanc 2018,3.6,Blanc,1997998,4379,Abadal,12.97,,,,,,,,
159414458,Akarua Rua Pinot Noir 2019,3.7,Rua Pinot Noir,96643,5511,Akarua,23.83,3.6646826,,2.2065156,1.5912963,2.1836762,162,New Zealand Pinot Noir,Pinot Noir
160764872,Mrva & Stanko Cabernet Sauvignon Rosé 2019,4,Cabernet Sauvignon Rosé,1157231,14732,Mrva & Stanko,12.89,,,,,,,,
162020834,Conterno Fantino Dolcetto d'Alba Bricco Bastia 2019,3.6,Dolcetto d'Alba Bricco Bastia,16648,1538,Conterno Fantino,17.57,2.788943,,3.851626,1.8598078,3.1165407,130,Northern Italy Red,Red
11371531,ColleMassari Montecucco Rosso Riserva 2014,3.8,Montecucco Rosso Riserva,87653,11723,ColleMassari,22.4,3.0200458,,3.3365595,1.5768604,3.0337868,292,Tuscan Red,Red
160554070,Telmo Rodriguez Gazur 2019,3.7,Gazur,1635436,10484,Telmo Rodriguez,15.15,3.7344217,,3.8910184,1.5276347,3.7861497,180,Spanish Ribera Del Duero Red,Ribera Del Duero Red
134465802,Valserrano Rioja Crianza 2016,3.8,Rioja Crianza,1843806,5796,Valserrano,15.96,3.828937,,3.9054995,1.5009751,3.8615272,190,Spanish Rioja Red,Rioja Red
161151242,Jean-Marc Burgaud Grands Cras Morgon 2018,3.8,Grands Cras Morgon,2758116,6907,Jean-Marc Burgaud,24.18,4.857425,,1.4090558,1.5463519,2.2828758,8,Beaujolais Red,Red
19218366,La Rioja Alta Viña Alberdi Crianza 2015,4.2,Viña Alberdi Crianza,1216811,2268,La Rioja Alta,20.23,3.63296,,3.6577532,1.9045765,3.6355429,190,Spanish Rioja Red,Rioja Red
160164076,Argiolas Merì Vermentino di Sardegna 2019,3.8,Merì Vermentino di Sardegna,1272816,1949,Argiolas,17.57,2.8222978,,3.708089,1.476561,,209,Southern Italy White,White
161204232,Domaine La Terrasse d'Elise XB 2019,3.7,XB,2011285,32613,Domaine La Terrasse d'Elise,19.34,3.5863,,3.571122,1.8047556,3.0988889,94,Languedoc-Roussillon Red,Red
156448034,Fanti Rosso di Montalcino 2018,3.7,Rosso di Montalcino,1775476,30449,Fanti,20.15,3.2119954,,2.989516,1.4905049,2.95442,292,Tuscan Red,Red
157079784,Mas Laval Les Pampres 2018,4,Les Pampres,2517445,13195,Mas Laval,19.34,3.7762485,,3.7147818,1.6582308,3.3321278,94,Languedoc-Roussillon Red,Red
159519892,Juan Gil Jumilla Yellow Label 2019,3.8,Jumilla Yellow Label,1134571,1891,Juan Gil,9.35,3.4727929,,3.6303782,1.8574634,4.038368,121,Spanish Monastrell,Monastrell
97089355,Rocca di Frassinello Maremma Toscana Le Sughere di Frassinello 2016,4,Maremma Toscana Le Sughere di Frassinello,11746,5461,Rocca di Frassinello,24.64,3.1198382,,3.3416529,1.6022011,3.0301673,292,Tuscan Red,Red
2628170,Donelli Lambrusco Reggiano Rosso Dolce,3.6,Lambrusco Reggiano Rosso Dolce,1686033,19202,Donelli,11.16,,,,,,,,
156887529,Belondrade Quinta Clarisa Belondrade 2018,3.6,Quinta Clarisa Belondrade,1238913,17509,Belondrade,15.55,,,,,,,,
151750613,Marques de Vitoria Rioja Crianza 2017,3.5,Rioja Crianza,1488465,6852,Marques de Vitoria,11.85,3.5762327,,3.6751206,1.5909967,3.5679955,190,Spanish Rioja Red,Rioja Red
